ID: 147 | Disease: Blood Pressure | Title: "Sambar" | Category: "Lunch" | Image: "/images/bp/BPFoodItems_extracted/page_047.jpg"
ID: 148 | Disease: Blood Pressure | Title: "Rava Dosa" | Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_048.jpg"
ID: 149 | Disease: Blood Pressure | Title: "Ragi Idli / Dosa" | Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_049.jpg"
ID: 150 | Disease: Blood Pressure | Title: "Plain Dosa" | Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_050.jpg"
ID: 151 | Disease: Blood Pressure | Title: "South Indian Oats Idli" | Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_051.jpg"
ID: 152 | Disease: Blood Pressure | Title: "Ragi Idli (Finger Millet Idli)" | Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_052.jpg"
ID: 153 | Disease: Blood Pressure | Title: "Authentic South Indian Idli" | Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_053.jpg"
ID: 154 | Disease: Blood Pressure | Title: "Missi Roti (Gram Flour Flatbread)" | Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_054.jpg"
ID: 155 | Disease: Blood Pressure | Title: "Roti / Phulka" | Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_055.jpg"
ID: 156 | Disease: Blood Pressure | Title: "Indian Ragi Roti (Finger Millet Flatbread)" | Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_056.jpg"
ID: 157 | Disease: Blood Pressure | Title: "Jowar Roti (Indian Sorghum Flatbread)" | Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_057.jpg"
ID: 158 | Disease: Blood Pressure | Title: "Bajra Roti (Pearl Millet Flatbread)" | Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_058.jpg"
ID: 159 | Disease: Blood Pressure | Title: "Multigrain Roti" | Category: "Breakfast" | Image: "/images/bp/BPFoodItems_extracted/page_059.jpg"
